time,Dis Y(Dv),Dis Y Old(Dv),difference Dis Y,Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2),round data
2025-02-20 12:35:27 , -0.024 , -0.024 , 0.0 , 0.198  , 83.844 , 70.778 , 83.844 , 83.844 ,121
2025-02-20 12:35:30 , -0.022 , -0.024 , 0.002 , 0.204  , 83.844 , 70.778 , 83.844 , 84.412 ,122
2025-02-20 12:35:31 , -0.023 , -0.022 , -0.001 , 0.203  , 83.844 , 70.778 , 83.844 , 83.56 ,123
2025-02-20 12:35:34 , -0.023 , -0.023 , 0.0 , 0.204  , 83.572 , 70.778 , 83.572 , 83.572 ,124
2025-02-20 12:35:34 , -0.023 , -0.023 , 0.0 , 0.204  , 83.572 , 70.778 , 83.572 , 83.572 ,125
2025-02-20 12:35:37 , -0.023 , -0.023 , 0.0 , 0.209  , 83.572 , 69.417 , 83.572 , 83.572 ,126
2025-02-20 12:35:38 , -0.023 , -0.023 , 0.0 , 0.209  , 83.572 , 69.417 , 83.572 , 83.572 ,127
2025-02-20 12:35:41 , -0.023 , -0.023 , 0.0 , 0.211  , 83.572 , 69.417 , 83.572 , 83.572 ,128
2025-02-20 12:35:41 , -0.024 , -0.023 , -0.001 , 0.213  , 83.572 , 69.417 , 83.572 , 83.288 ,129
2025-02-20 12:35:44 , -0.023 , -0.024 , 0.001 , 0.219  , 83.572 , 69.417 , 83.572 , 83.856 ,130
2025-02-20 12:35:45 , -0.023 , -0.023 , 0.0 , 0.219  , 83.572 , 69.417 , 83.572 , 83.572 ,131
2025-02-20 12:35:48 , -0.022 , -0.023 , 0.001 , 0.221  , 83.572 , 70.778 , 83.572 , 83.856 ,132
2025-02-20 12:35:48 , -0.022 , -0.022 , 0.0 , 0.221  , 83.572 , 70.778 , 83.572 , 83.572 ,133
2025-02-20 12:35:51 , -0.024 , -0.022 , -0.002 , 0.225  , 83.572 , 69.417 , 83.572 , 83.005 ,134
2025-02-20 12:35:52 , -0.024 , -0.024 , 0.0 , 0.225  , 83.3 , 69.417 , 83.3 , 83.3 ,135
2025-02-20 12:35:55 , -0.024 , -0.024 , 0.0 , 0.228  , 83.3 , 69.417 , 83.3 , 83.3 ,136
2025-02-20 12:35:55 , -0.024 , -0.024 , 0.0 , 0.228  , 83.3 , 69.417 , 83.3 , 83.3 ,137
2025-02-20 12:35:58 , -0.023 , -0.024 , 0.001 , 0.232  , 83.3 , 69.417 , 83.3 , 83.583 ,138
2025-02-20 12:35:59 , -0.023 , -0.023 , 0.0 , 0.232  , 83.3 , 69.417 , 83.3 , 83.3 ,139
2025-02-20 12:36:02 , -0.023 , -0.023 , 0.0 , 0.235  , 83.3 , 69.417 , 83.3 , 83.3 ,140
2025-02-20 12:36:02 , -0.023 , -0.023 , 0.0 , 0.235  , 83.028 , 69.417 , 83.028 , 83.028 ,141
2025-02-20 12:36:05 , -0.023 , -0.023 , 0.0 , 0.241  , 83.028 , 69.417 , 83.028 , 83.028 ,142
2025-02-20 12:36:06 , -0.023 , -0.023 , 0.0 , 0.241  , 83.028 , 69.417 , 83.028 , 83.028 ,143
2025-02-20 12:36:09 , -0.022 , -0.023 , 0.001 , 0.247  , 83.028 , 69.417 , 83.028 , 83.311 ,144
2025-02-20 12:36:09 , -0.022 , -0.022 , 0.0 , 0.247  , 83.028 , 69.417 , 83.028 , 83.028 ,145
2025-02-20 12:36:12 , -0.022 , -0.022 , 0.0 , 0.254  , 82.756 , 69.417 , 82.756 , 82.756 ,146
2025-02-20 12:36:13 , -0.022 , -0.022 , 0.0 , 0.254  , 82.756 , 69.417 , 82.756 , 82.756 ,147
2025-02-20 12:36:16 , -0.021 , -0.022 , 0.001 , 0.256  , 82.483 , 68.056 , 82.483 , 82.765 ,148
2025-02-20 12:36:16 , -0.021 , -0.021 , 0.0 , 0.258  , 82.483 , 68.056 , 82.483 , 82.483 ,149
2025-02-20 12:36:19 , -0.021 , -0.021 , 0.0 , 0.258  , 82.211 , 68.056 , 82.211 , 82.211 ,150
2025-02-20 12:36:20 , -0.021 , -0.021 , 0.0 , 0.261  , 82.211 , 68.056 , 82.211 , 82.211 ,151
2025-02-20 12:36:23 , -0.021 , -0.021 , 0.0 , 0.263  , 82.211 , 68.056 , 82.211 , 82.211 ,152
2025-02-20 12:36:23 , -0.021 , -0.021 , 0.0 , 0.262  , 82.211 , 68.056 , 82.211 , 82.211 ,153
2025-02-20 12:36:26 , -0.02 , -0.021 , 0.001 , 0.265  , 82.211 , 68.056 , 82.211 , 82.493 ,154
2025-02-20 12:36:27 , -0.02 , -0.02 , 0.0 , 0.265  , 82.211 , 68.056 , 82.211 , 82.211 ,155
2025-02-20 12:36:30 , -0.02 , -0.02 , 0.0 , 0.271  , 81.939 , 68.056 , 81.939 , 81.939 ,156
2025-02-20 12:36:30 , -0.02 , -0.02 , 0.0 , 0.272  , 81.939 , 68.056 , 81.939 , 81.939 ,157
2025-02-20 12:36:33 , -0.019 , -0.02 , 0.001 , 0.274  , 81.939 , 68.056 , 81.939 , 82.221 ,158
2025-02-20 12:36:34 , -0.019 , -0.019 , 0.0 , 0.274  , 81.939 , 68.056 , 81.939 , 81.939 ,159
2025-02-20 12:36:37 , -0.02 , -0.019 , -0.001 , 0.278  , 81.939 , 68.056 , 81.939 , 81.657 ,160
2025-02-20 12:36:37 , -0.02 , -0.02 , 0.0 , 0.279  , 81.939 , 68.056 , 81.939 , 81.939 ,161
2025-02-20 12:36:40 , -0.02 , -0.02 , 0.0 , 0.284  , 81.667 , 66.694 , 81.667 , 81.667 ,162
2025-02-20 12:36:41 , -0.02 , -0.02 , 0.0 , 0.284  , 81.667 , 66.694 , 81.667 , 81.667 ,163
2025-02-20 12:36:44 , -0.019 , -0.02 , 0.001 , 0.284  , 81.394 , 66.694 , 81.394 , 81.675 ,164
2025-02-20 12:36:44 , -0.019 , -0.019 , 0.0 , 0.285  , 81.394 , 66.694 , 81.394 , 81.394 ,165
2025-02-20 12:36:47 , -0.018 , -0.019 , 0.001 , 0.29  , 81.667 , 68.056 , 81.667 , 81.949 ,166
2025-02-20 12:36:48 , -0.018 , -0.018 , 0.0 , 0.29  , 81.667 , 68.056 , 81.667 , 81.667 ,167
2025-02-20 12:36:51 , -0.018 , -0.018 , 0.0 , 0.292  , 81.667 , 68.056 , 81.667 , 81.667 ,168
2025-02-20 12:36:51 , -0.019 , -0.018 , -0.001 , 0.293  , 81.667 , 68.056 , 81.667 , 81.385 ,169
2025-02-20 12:36:54 , -0.019 , -0.019 , 0.0 , 0.297  , 81.667 , 68.056 , 81.667 , 81.667 ,170
2025-02-20 12:36:55 , -0.019 , -0.019 , 0.0 , 0.297  , 81.667 , 68.056 , 81.667 , 81.667 ,171
2025-02-20 12:36:58 , -0.019 , -0.019 , 0.0 , 0.302  , 81.667 , 68.056 , 81.667 , 81.667 ,172
2025-02-20 12:36:58 , -0.019 , -0.019 , 0.0 , 0.303  , 81.667 , 68.056 , 81.667 , 81.667 ,173
2025-02-20 12:37:01 , -0.018 , -0.019 , 0.001 , 0.305  , 81.667 , 68.056 , 81.667 , 81.949 ,174
2025-02-20 12:37:02 , -0.018 , -0.018 , 0.0 , 0.305  , 81.667 , 68.056 , 81.667 , 81.667 ,175
2025-02-20 12:37:05 , -0.02 , -0.018 , -0.002 , 0.309  , 81.667 , 68.056 , 81.667 , 81.104 ,176
2025-02-20 12:37:05 , -0.02 , -0.02 , 0.0 , 0.311  , 81.667 , 68.056 , 81.667 , 81.667 ,177
2025-02-20 12:37:08 , -0.021 , -0.02 , -0.001 , 0.314  , 81.667 , 68.056 , 81.667 , 81.385 ,178
2025-02-20 12:37:09 , -0.019 , -0.021 , 0.002 , 0.314  , 81.667 , 68.056 , 81.667 , 82.23 ,179
2025-02-20 12:37:12 , -0.018 , -0.019 , 0.001 , 0.315  , 81.667 , 68.056 , 81.667 , 81.949 ,180
2025-02-20 12:37:12 , -0.018 , -0.018 , 0.0 , 0.315  , 81.667 , 68.056 , 81.667 , 81.667 ,181
2025-02-20 12:37:15 , -0.019 , -0.018 , -0.001 , 0.325  , 81.667 , 68.056 , 81.667 , 81.385 ,182
2025-02-20 12:37:16 , -0.019 , -0.019 , 0.0 , 0.325  , 81.667 , 68.056 , 81.667 , 81.667 ,183
